iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRB,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2e_100yr,7034,tonnes,annual,2023-10-03 21:10:33.884806,
BRB,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2e_20yr,20894.8,tonnes,annual,2023-10-03 21:10:33.884813,
BRN,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2,0,tonnes,annual,2023-10-03 21:10:33.885326,
BRN,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,ch4,8.4,tonnes,annual,2023-10-03 21:10:33.885335,
BRN,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,n2o,0,tonnes,annual,2023-10-03 21:10:33.885341,
BRN,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2e_100yr,228.5,tonnes,annual,2023-10-03 21:10:33.88535,
BRN,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2e_20yr,678.7,tonnes,annual,2023-10-03 21:10:33.885357,
BTN,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2,0,tonnes,annual,2023-10-03 21:10:33.885857,
BTN,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,ch4,4710.2,tonnes,annual,2023-10-03 21:10:33.885867,
BTN,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,n2o,0,tonnes,annual,2023-10-03 21:10:33.885874,
BTN,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2e_100yr,128117.4,tonnes,annual,2023-10-03 21:10:33.885882,
BTN,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2e_20yr,380584.2,tonnes,annual,2023-10-03 21:10:33.88589,
BWA,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2,0,tonnes,annual,2023-10-03 21:10:33.886417,
BWA,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,ch4,16680.7,tonnes,annual,2023-10-03 21:10:33.886426,
BWA,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,n2o,0,tonnes,annual,2023-10-03 21:10:33.886433,
BWA,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2e_100yr,453715,tonnes,annual,2023-10-03 21:10:33.886441,
BWA,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2e_20yr,1347800.6,tonnes,annual,2023-10-03 21:10:33.886449,
CAF,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2,0,tonnes,annual,2023-10-03 21:10:33.886957,
CAF,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,ch4,32837.3,tonnes,annual,2023-10-03 21:10:33.886967,
CAF,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,n2o,0,tonnes,annual,2023-10-03 21:10:33.886974,
CAF,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2e_100yr,893174.6000000001,tonnes,annual,2023-10-03 21:10:33.886984,
CAF,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2e_20yr,2653253.8,tonnes,annual,2023-10-03 21:10:33.886992,
CAN,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,co2,0,tonnes,annual,2023-10-03 21:10:33.887491,
CAN,2015-01-01 00:00:00,2015-12-31 00:00:00,enteric-fermentation-cattle-feedlot,ch4,275372.8,tonnes,annual,2023-10-03 21:10:33.8875,
